PRODUCT_ID,PRODUCT_NAME,PRODUCT_NUMBER,CATEGORY_ID,SUPPLIER_ID,DESCRIPTION,COLOR,SIZE,WEIGHT,UNIT_PRICE,COST,LIST_PRICE,DISCONTINUED,REORDER_LEVEL,UNITS_IN_STOCK,UNITS_ON_ORDER,PRODUCT_LINE,CLASS,STYLE
1,Customizable background Graphical User Interface,P000001,12,141,Seat break happy table west. Say financial operation couple hold interest side. Mind own develop house. System firm staff father despite quite challenge.,Silver,XXL,35.17,549.43,239.26,697.89,False,21,236,15,Premium,B,Classic
2,Extended modular frame,P000002,4,56,Wonder four still decision. Red apply tend condition maintain. Federal spring treatment city again hot.,Brown,XL,36.26,1090.73,372.73,1500.92,False,38,611,36,Standard,A,Vintage
3,Exclusive user-facing projection,P000003,9,33,"Rise offer question write challenge wear.
Unit benefit wind conference. Bring middle full. Wide phone identify alone drive major.",White,XS,48.72,208.05,117.6,230.03,False,49,966,16,Professional,A,Classic
4,Team-oriented value-added attitude,P000004,3,14,"Himself yourself reflect fear. Between as training somebody. If red hour stage. Major million once research so buy send.
Television receive accept language. But can deal claim none surface.",White,,5.79,637.34,289.16,813.37,True,36,75,73,Standard,A,Modern
5,Optimized stable ability,P000005,4,31,"Animal watch toward fall move. Officer reason mission worry.
Mrs decide between standard down could feel strategy. Own democratic grow campaign. Instead near end power clear lay war put.",,One Size,30.36,1188.54,406.52,1347.89,False,19,794,66,Professional,B,Sport
6,Compatible encompassing capability,P000006,10,159,"Range image forget become. Sing chair something event better woman. Her bit understand compare rock.
Start majority more red tend necessary parent to. Fish sell Congress south.",Red,S,47.38,362.64,152.19,461.11,False,18,270,84,Standard,A,Modern
7,Persistent motivating forecast,P000007,8,177,"Minute responsibility under director player beautiful. Image fine bed bag role.
Offer be experience upon. While interest meet.
Marriage rate quality mother by add couple. Research reflect see.",Brown,XL,1.73,146.81,91.04,161.65,False,23,719,58,Standard,C,Modern
8,Optimized modular implementation,P000008,11,51,"Wide full quickly story surface tax. Federal family defense scene notice.
Upon where middle throw very. Summer arm accept leave fear blue glass reveal.",Gold,S,27.27,1239.88,462.34,1673.87,False,22,846,18,Standard,A,Modern
9,Multi-channeled tertiary customer loyalty,P000009,5,113,"Expect card inside former all. Way where work budget major.
Foot share think maybe. Capital whatever society call general add. Appear stop involve others account.",Blue,,34.47,950.69,397.35,1359.2,False,22,512,69,Professional,B,Classic
10,Upgradable motivating pricing structure,P000010,10,65,"Yeah option play director car. Event court certainly.
Current ten herself modern record woman develop international.
Interview appear body hair wall represent east. Consider a produce.",Red,S,11.52,853.16,301.03,1189.15,False,41,601,2,Economy,C,Classic
11,Cross-group bi-directional capacity,P000011,8,72,Build only treatment pressure couple relate understand avoid. People feeling listen set move child campaign. Nearly education theory table trade window. Large response treat attack industry use.,Green,One Size,31.78,674.69,382.74,882.21,False,10,481,44,Professional,B,Vintage
12,Realigned zero-defect info-mediaries,P000012,12,127,"Even contain civil design recent these so lay. Else system fast environmental budget difference move. Although challenge third until establish.
Writer decide break possible plan.",White,One Size,40.7,938.3,336.72,1155.91,False,34,90,40,Economy,B,Classic
13,Customer-focused uniform synergy,P000013,1,169,Thank plant nearly stage determine. Daughter picture teach house land. Happy total behavior consider continue television.,,,20.72,1022.04,485.24,1334.62,False,28,637,96,Professional,C,Sport
14,Versatile 24/7 portal,P000014,5,113,"Himself body add store various car. Environment voice outside society.
My stand system be.
Service throughout spring film look during myself. Physical but stay bill father.",Brown,S,1.54,688.19,381.2,908.2,False,20,726,20,Economy,C,Classic
15,Configurable 6thgeneration portal,P000015,2,119,"Investment friend consider interesting. Person expert then even material.
Specific represent baby able value. Sing chair challenge land. Spring both into risk certain follow camera.",Blue,M,24.97,456.46,278.36,683.28,False,37,722,34,Professional,B,Sport
16,User-friendly directional standardization,P000016,10,131,"Gun data sure gun listen. Tv arrive glass support.
Leave structure necessary use inside. Still argue case while region.",Green,S,13.88,292.37,125.65,366.47,False,31,348,100,Economy,A,Vintage
17,Advanced non-volatile instruction set,P000017,11,126,"Like cell month we. In front sit receive expert choose thing.
Seem me action strategy quite then never stop.",Green,,26.98,1004.36,364.4,1337.78,False,40,781,69,Professional,B,Vintage
18,Stand-alone interactive core,P000018,7,60,"Bit guy single friend. Executive must assume others series.
Necessary point allow especially with. And worry low answer behavior final wonder.",Gold,XS,15.98,1293.79,435.45,1546.75,False,29,395,84,Premium,B,Classic
19,Multi-tiered mission-critical parallelism,P000019,2,113,"Claim radio bad personal well.
Space pressure shoulder claim white. Yeah participant model shoulder language capital fact.",Blue,,0.87,198.96,67.49,245.28,False,46,993,19,Standard,B,Vintage
20,Triple-buffered zero administration knowledgebase,P000020,6,173,Without shake kind under vote will major. Teacher husband tax true can happen.,,One Size,47.71,438.22,172.59,595.95,False,36,893,69,Standard,C,Classic
21,Cloned foreground Graphical User Interface,P000021,4,192,Defense scientist boy lawyer nation we certainly. Floor all over herself view. Smile without degree deep age serve. Establish player base attorney if fear.,Blue,One Size,48.92,306.25,121.21,372.08,False,50,893,12,Professional,A,Vintage
22,Advanced next generation toolset,P000022,5,92,Back property pattern food worry. Add to value material first society. Enjoy reveal write wall tax plant. Best despite without information national coach help girl.,Silver,One Size,7.36,709.48,452.19,1006.37,False,41,698,23,Premium,A,Classic
23,Customizable context-sensitive knowledgebase,P000023,8,150,Computer organization myself high suddenly read. Plant reduce visit town between because. Bed administration usually billion.,Green,L,23.11,636.04,306.7,873.44,False,21,682,1,Professional,B,Modern
24,Programmable user-facing policy,P000024,5,164,"Color occur involve new hot pattern. Stock soon official can player within. Idea fish citizen discuss.
Brother officer hot several true study city. Data behavior join pick order agreement.",Gold,XL,22.9,121.27,41.56,181.31,False,29,873,61,Standard,A,Sport
25,Reduced bi-directional budgetary management,P000025,5,6,But center energy Congress back suddenly tree debate. Make against available where. Decision information threat plant.,Gold,XL,0.5,680.55,288.1,1018.84,False,8,932,77,Professional,B,Modern
26,Distributed didactic hierarchy,P000026,10,65,"Ahead catch base reality call. Loss well give necessary family.
Mention hundred cover common reach thought. Which bill soldier onto close. West maintain third interest section.",Green,S,45.18,619.7,305.5,839.47,False,24,807,56,Standard,C,Vintage
27,Compatible didactic protocol,P000027,12,107,Certain fire act read response degree. Somebody together no history own money bill. Respond watch space provide off.,Green,L,6.69,600.97,367.52,732.01,False,28,543,64,Economy,A,Vintage
28,Persistent executive capacity,P000028,5,192,"Time truth although. Attorney believe sort. Ever send hundred news finish.
Hotel recent lawyer. Successful visit bill difference. Catch year technology. Difficult because right speech staff Mr.",Silver,S,23.47,1334.05,457.45,1983.67,True,19,880,86,Professional,C,Vintage
29,Innovative asynchronous firmware,P000029,2,117,Social here recognize understand on build floor challenge. Thousand whole including land business month official product. Focus room difficult enough fast.,Silver,XL,29.27,103.97,49.7,125.37,False,28,110,86,Premium,B,Classic
30,Reverse-engineered well-modulated moderator,P000030,10,57,"Set find law child mean trial. True history laugh per data. Could everyone clearly film thank possible.
Then seat drive thus cost agreement product. Goal brother nearly great deep however issue.",Blue,,45.48,908.47,311.68,1118.51,False,31,119,17,Standard,A,Vintage
31,Re-engineered encompassing encoding,P000031,9,35,"Big difficult per respond hot big safe. Manager commercial data PM relationship.
Behind me red. School system reach color race coach forward.",Gold,,18.61,833.71,497.98,995.38,False,49,968,69,Professional,C,Modern
